S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
0,9,0,0,9,0,36,0,0,30,0,18,42,27,0,0,11.4,14.66424222385869,3.0,4.242640687119285,17.0,16.3707055437449,8.68808074128623,6.286274972739526
0,0,0,0,9,0,36,0,0,21,0,18,51,0,0,0,9.0,15.336231610144651,1.5,3.3541019662496847,14.0,17.944358444926362,8.112077203381551,6.29239250574671
0,0,9,0,81,0,36,0,4,27,0,9,9,9,0,21,12.266666666666667,21.085434677889747,15.0,29.698484809834994,10.444444444444445,12.028772091310541,18.11736711485214,4.137216985031103
0,0,9,9,0,0,22,0,9,33,0,0,0,39,0,21,8.066666666666666,12.545738541654513,3.0,4.242640687119285,11.444444444444445,14.893034248795725,13.87080173610706,5.362500792835831
21,21,72,9,0,0,0,15,9,21,0,0,0,9,0,0,11.8,18.048822676285564,20.5,24.58149710656371,6.0,7.483314773547883,9.949607558761855,7.483669516128366
96,9,72,33,30,210,9,9,4,9,0,0,0,33,0,75,34.266666666666666,54.347605487475,75.0,66.85805860178712,7.111111111111111,9.960415480451097,54.53809071804722,16.629859181171895
180,27,9,45,0,678,36,9,87,46,18,36,21,51,0,75,82.86666666666666,164.85139435935085,156.5,240.81995349223038,33.77777777777778,24.620577562400378,107.5726870086725,40.62929032060985
312,159,27,255,18,1590,297,136,87,84,18,36,42,9,0,0,204.66666666666666,384.1242275907916,393.5,545.8555211775365,78.77777777777777,87.52241335512963,196.26363141915274,156.93058721737196
375,348,228,381,18,1554,297,435,307,165,204,255,0,21,78,21,311.06666666666666,359.1425838793773,484.0,494.73528275230177,195.77777777777777,136.2650829798528,230.40308351534796,149.36546230250755
546,249,318,396,105,1470,252,435,585,246,384,420,9,30,126,81,371.4,338.3386469205077,514.0,448.1082458513791,276.3333333333333,185.27517072961743,263.57954897350254,129.80686177134456
708,378,255,438,378,1866,234,540,585,394,654,420,75,18,237,60,478.6666666666667,416.2596411963199,670.5,552.0319284244346,350.77777777777777,211.51452683380495,318.3087692876622,184.42021658013192
753,522,513,393,753,1698,333,654,922,543,846,658,174,0,402,60,610.9333333333333,377.07903091468177,772.0,434.24647379109484,503.55555555555554,287.12835345542715,349.33745474933835,225.77138987708724
924,738,639,780,714,1482,663,654,1386,726,885,1086,171,0,513,198,757.4,372.99040202128526,879.5,282.8838100704952,676.0,402.43757279856464,442.79680067376177,233.6475835806587
963,846,660,714,870,1170,831,733,1386,909,885,1086,141,51,339,264,772.2666666666667,350.5704811050443,870.5,167.1623462386192,706.7777777777778,418.9056583734385,462.279049257237,222.02530525456015
927,1134,603,960,1116,954,831,729,1242,1002,904,871,30,51,345,453,779.9333333333333,358.5692804590054,949.0,174.38463235044537,667.2222222222222,402.8073092622101,530.5008712641129,180.53938637444608
951,1041,534,792,876,1038,750,729,1077,1095,849,834,81,30,273,390,730.0,336.9534092422868,872.0,174.65108072955059,635.3333333333334,382.7395400994723,485.6511364140956,174.13263249516876
690,1146,519,567,657,858,951,720,1077,852,1038,834,135,48,345,411,695.8,316.9860564756753,739.5,210.91763795377568,666.6666666666666,368.3579177315937,474.5953521585584,161.0554305495282
582,1002,582,417,804,678,963,594,921,609,945,748,129,57,300,225,622.0666666666667,285.03601331917497,677.5,185.92269899073648,585.1111111111111,330.07589849219846,377.36755999528054,174.75567769154333
810,678,915,477,1176,621,588,594,669,580,504,861,174,60,240,453,596.4666666666667,280.70408301665697,779.5,224.8827472261934,474.44444444444446,245.7361326984297,443.39024989444124,129.08850395794562
