S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
0,0,9,0,0,0,0,0,0,0,9,0,0,48,0,0,4.4,12.043255373859678,1.5,3.3541019662496847,6.333333333333333,14.996295838935987,5.481085124619892,4.975711592995572
0,0,0,0,0,0,0,10,0,0,9,0,0,57,0,0,5.066666666666666,14.247650878497677,0.0,0.0,8.444444444444445,17.60120646818855,6.438105848388115,5.8968648710287574
0,0,0,0,0,0,0,21,0,0,4,0,0,81,0,9,7.066666666666666,20.443309147221957,0.0,0.0,11.777777777777779,25.319196835505306,12.169991937962875,5.903122206550886
0,0,9,0,0,0,0,21,0,0,0,0,0,84,0,63,7.6,21.152777595389217,1.5,3.3541019662496847,11.666666666666666,26.398653164297773,30.58425919846307,23.57971775236563
0,9,0,0,0,0,0,10,0,0,0,0,0,21,0,54,2.6666666666666665,5.861361237422205,1.5,3.3541019662496847,3.4444444444444446,6.945999825816793,20.842675968029624,23.482016112632717
0,9,0,0,0,0,18,0,4,0,0,0,33,51,0,21,7.666666666666667,14.672726021053105,1.5,3.3541019662496847,11.777777777777779,17.580151546419096,14.446464229239924,5.445661284807097
0,0,0,0,0,0,18,0,0,0,0,0,33,60,0,21,7.4,16.71645895517349,0.0,0.0,12.333333333333334,20.121851030382093,15.038819651724495,5.677490949610142
0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,30,5.4,20.204949888579282,0.0,0.0,9.0,25.45584412271571,18.534983296193094,10.112091485436778
0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,39,6.8,25.443270230062804,0.0,0.0,11.333333333333334,32.05550741379015,23.74775674335427,13.200153395262948
0,0,0,0,0,0,0,0,0,0,27,0,0,84,0,9,7.4,21.546229368499723,0.0,0.0,12.333333333333334,26.699979192667715,12.64874312283324,6.325290302632661
0,0,0,0,0,0,0,0,0,0,27,0,0,93,0,18,8.0,23.689660191737662,0.0,0.0,13.333333333333334,29.39765674713245,16.563220063912553,6.485348187599849
0,0,0,0,0,0,0,0,0,0,18,0,0,72,0,9,6.0,18.19890106572372,0.0,0.0,10.0,22.627416997969522,11.06630035524124,5.19008636224751
0,0,72,0,0,0,0,0,0,0,18,0,0,60,0,42,10.0,22.521101216414795,12.0,26.832815729997478,8.666666666666666,18.997075798366676,24.840367072138264,13.166478789768698
0,0,72,0,0,0,0,0,0,0,18,0,0,27,0,84,7.8,18.8403821617291,12.0,26.832815729997478,5.0,9.591663046625438,36.88012738724303,33.62225756698569
0,0,0,0,0,0,0,0,0,0,9,0,0,18,0,9,1.8,4.874423042781576,0.0,0.0,3.0,6.0,5.224807680927192,2.9498109595911766
0,0,0,0,0,0,0,0,0,0,9,0,0,18,0,27,1.8,4.874423042781576,0.0,0.0,3.0,6.0,11.224807680927192,11.225136637306376
0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,9,1.8,3.6,0.0,0.0,3.0,4.242640687119285,4.8,3.059411708155671
0,0,0,0,0,0,0,0,0,0,0,0,9,30,0,18,2.6,7.657675887630658,0.0,0.0,4.333333333333333,9.498537899183338,9.419225295876887,6.409227318913957
0,0,0,0,0,0,0,0,0,0,0,9,0,60,0,18,4.6,14.974645237867906,0.0,0.0,7.666666666666667,18.7142251301576,12.524881745955968,5.738234680615542
0,0,0,0,0,0,0,0,0,0,0,9,0,51,0,9,4.0,12.759310326189265,0.0,0.0,6.666666666666667,15.923427883328248,8.586436775396422,3.5879107433323787
