S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
0,0,0,9,0,9,0,0,33,0,18,54,0,30,0,57,10.2,15.979987484350543,3.0,4.242640687119285,15.0,18.867962264113206,27.726662494783515,20.83343915200669
0,0,0,9,30,30,18,4,33,0,18,54,0,39,0,48,15.666666666666666,17.106204202634267,11.5,13.46291201783626,18.444444444444443,18.643504147921877,26.924290289766976,14.9143604605734
9,21,0,0,30,21,18,0,16,0,18,27,0,30,0,0,12.666666666666666,11.516172203567564,13.5,11.324751652906125,12.11111111111111,11.608851454763535,8.060946290078077,5.719268641825226
9,21,18,0,0,0,9,0,0,0,9,36,0,18,9,81,8.6,10.32666451474047,8.0,8.774964387392123,9.0,11.224972160321824,33.30888817158016,33.73007513737803
9,0,0,0,0,0,0,4,0,0,0,36,0,39,0,39,5.866666666666666,12.643136038534461,1.5,3.3541019662496847,8.777777777777779,15.418443341068137,19.169934235067043,14.29227682976929
9,0,0,0,0,21,9,9,0,0,0,18,0,18,33,21,7.8,10.02796090937734,5.0,7.874007874011811,9.666666666666666,10.842303978193728,12.942653636459113,5.769550835780174
0,0,18,0,9,0,18,9,9,0,0,9,9,90,33,9,13.6,22.31232843071292,4.5,6.87386354243376,19.666666666666668,26.574841903992997,14.970776143570973,5.520494693330141
0,0,9,0,39,0,9,9,9,0,0,9,18,78,0,39,12.0,20.287927444665215,8.0,14.247806848775006,14.666666666666666,23.084386257574383,23.762642481555073,11.293220191504027
0,0,0,0,30,0,9,0,4,0,4,4,18,60,0,30,8.6,16.007498243010993,5.0,11.180339887498949,11.0,18.14754345175493,18.202499414336998,8.873312895290459
0,9,0,0,0,0,13,0,0,0,9,258,0,87,0,21,25.066666666666666,65.84777056885744,1.5,3.3541019662496847,40.77777777777778,81.25238837895137,37.30481241184137,20.251087044227564
0,0,9,0,0,0,18,0,0,0,0,258,0,63,0,51,23.2,64.73762429993859,1.5,3.3541019662496847,37.666666666666664,80.33817412800855,46.312541433312866,17.278556247200722
0,0,9,0,0,0,75,9,4,0,0,133,0,48,9,51,19.133333333333333,36.86528026326247,1.5,3.3541019662496847,30.88888888888889,43.72755155999589,35.6662045321986,13.037112360941766
0,9,0,0,0,0,75,9,9,0,0,0,0,51,9,42,10.8,21.29225211197726,1.5,3.3541019662496847,17.0,25.534290669607408,24.697417370659085,12.96293081133533
0,0,0,0,0,0,0,4,9,0,0,0,0,81,0,72,6.266666666666667,20.114560784554943,0.0,0.0,10.444444444444445,25.113569201224493,32.79374248374054,28.293568340979306
0,0,60,0,0,18,0,0,4,0,0,4,0,48,0,51,8.933333333333334,18.371959310016145,13.0,22.02271554554524,6.222222222222222,14.860669775378213,26.101764214449826,18.022458655920886
0,0,78,9,207,966,4,0,87,0,27,36,0,60,0,0,98.26666666666667,238.12250815260808,210.0,345.8251003036072,23.77777777777778,30.039891173710917,112.12972493975825,97.7060916242673
42,0,249,744,174,1746,9,25,87,0,111,36,0,51,0,51,218.26666666666668,447.6591659833281,492.5,611.1131237340595,35.44444444444444,38.27709239831489,238.97527754999825,162.5961426627034
324,21,306,210,342,2130,27,258,429,0,246,168,0,51,0,30,300.8,508.75550119875857,555.5,712.452980904705,131.0,144.61673485458036,279.8518337329195,196.0116097488166
462,153,882,168,531,2514,54,258,531,0,717,363,0,30,0,216,444.2,615.5567886068677,785.0,811.1522668402031,217.0,252.6301644697244,425.25226286895594,163.66769053430318
333,108,888,276,912,1974,72,162,531,0,717,363,0,18,9,177,424.2,514.8566402407567,748.5,626.3890564178145,208.0,251.72206895701459,372.01888008025225,142.77938529015628
597,438,1038,1062,1038,1506,72,264,754,0,733,673,0,48,0,309,548.2,463.831176183749,946.5,347.33449296031625,282.6666666666667,319.1680156629455,440.34372539458303,99.05522115947961
693,666,789,696,1083,1338,232,264,852,0,1083,678,9,39,18,369,562.6666666666666,426.527946199178,877.5,249.61219922111178,352.77777777777777,389.2804695211632,452.73153762194823,81.20618037659058
855,942,819,699,1353,1110,801,541,852,0,1095,678,9,72,18,174,656.2666666666667,424.62963731808554,963.0,214.57166634949732,451.77777777777777,406.5512890365543,418.2987679949174,196.93542829099206
735,486,1215,1101,1092,882,609,558,801,0,771,601,0,51,0,150,593.4666666666667,402.84684710473067,918.5,249.45991661988504,376.77777777777777,334.07177464922705,382.10450459046575,181.63765154990202
573,1245,1089,960,756,1086,657,558,1164,0,996,675,9,9,72,219,656.6,433.6549780643594,951.5,225.349173506361,460.0,427.71953427450563,436.41832602145314,178.66013744714476
786,630,870,1002,903,1146,639,672,1164,0,996,675,45,39,27,315,639.6,402.8829110299915,889.5,161.79385031576447,473.0,428.5837141096241,452.49430367666383,137.08211094147606
606,606,966,909,579,657,639,795,933,0,895,756,54,123,39,117,570.4666666666667,334.89080143964674,720.5,156.03284910556494,470.44444444444446,381.67761588693645,340.7858227021045,185.17391447178886
663,666,768,696,651,645,766,795,495,0,699,990,18,78,108,90,535.8666666666667,309.88962909755827,681.5,41.907636535600524,438.77777777777777,367.8534665318599,311.91876525474163,182.02995935883635
747,513,477,627,819,534,687,766,495,0,468,990,9,18,90,153,482.6666666666667,307.0966550706073,619.5,125.8779170466369,391.44444444444446,354.70178745629596,314.25444057909135,134.6809890019545
552,510,477,789,504,354,798,654,516,0,366,691,78,21,93,252,426.8666666666667,260.5565496308921,531.0,130.65221008463652,357.44444444444446,299.53449480860615,313.14107209918626,80.49197384498108
426,954,351,1011,327,306,543,654,339,0,513,0,87,120,105,144,382.4,303.0601260476211,562.5,299.7336317465893,262.3333333333333,239.04439383140158,276.4867086825404,99.12365974829649
657,510,519,705,309,228,486,570,339,0,513,0,9,117,72,144,335.6,241.4304040505255,488.0,171.62750362339946,234.0,227.3851358378555,240.34346801684183,78.22414832797688
