S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
72,21,45,39,63,51,54,36,42,69,39,58,69,57,66,39,52.06666666666667,14.294365634364084,48.5,16.469669092000604,54.44444444444444,12.065663964887314,35.12034410034358,15.662598310274616
78,69,66,27,9,51,72,36,42,76,27,99,36,18,42,39,49.86666666666667,24.827046183995034,50.0,24.535688292770594,49.77777777777778,25.01900512178593,37.897904283553906,10.252044014251137
27,48,105,0,27,72,45,51,46,84,27,99,36,27,60,9,50.266666666666666,28.31128553931963,46.5,34.15040263305837,52.77777777777778,23.294146989117614,29.192650735328765,16.85856949053896
546,39,156,39,45,105,45,117,42,61,61,124,9,57,27,30,98.2,126.02920296502714,155.0,179.99722220078843,60.333333333333336,35.89181274639416,84.74306765500904,40.34202710679308
32952,84,156,48,36,129,58,117,42,39,162,54,54,96,39,69,2271.0666666666666,8199.930613256567,5567.5,12246.792774028636,73.44444444444444,40.28264338427521,3513.332426641078,3433.6983291296674
7608,63,54,345,9,114,165,78,47,42,93,54,114,96,39,66,594.7333333333333,1875.9462489338255,1365.5,2793.835759310128,80.88888888888889,39.00553933437445,845.5598607557196,759.8955262190043
855,84,54,165,84,84,126,186,52,45,63,27,60,48,57,96,132.66666666666666,197.8853764739129,221.0,285.5661044311807,73.77777777777777,47.21529360935166,142.1840143801932,42.13543572365085
22245,255,135,297,123,96,480,186,48,54,90,45,45,30,39,39,1611.2,5515.923219190056,3858.5,8223.013392303335,113.0,137.38267721950973,2388.7077397300186,2302.543622638647
39161,456,156,1908,165,252,1785,1017,48,63,90,45,27,0,9,39,3012.133333333333,9680.53338659027,7016.333333333333,14388.501111033846,342.6666666666667,594.5061442538299,4243.888906641201,4031.3527800202055
48687,834,378,1143,384,246,1785,2853,39,72,255,162,18,27,18,48,3793.4,12023.182500486299,8612.0,17924.73879865478,581.0,965.35174936393,5288.194166828766,5001.803420159393
12399,738,504,1404,570,726,1938,2853,60,81,285,276,75,48,18,72,1465.0,3024.7307979388843,2723.5,4336.902494868889,626.0,974.3592766531245,1520.5769326462948,1206.0877214796549
1869,390,993,1647,936,474,2025,3169,60,147,429,276,75,39,60,42,839.2666666666667,906.2200223394366,1051.5,549.359854740042,697.7777777777778,1057.108927192755,595.8288963353677,392.5689092554323
1353,2931,1068,1881,1290,858,2676,3216,133,213,459,355,87,36,168,27,1114.9333333333334,1058.1354334656578,1563.5,687.1711940994035,815.8888888888889,1152.2640943854306,733.3562555996638,500.00724676476955
1884,3435,1065,2187,1740,858,3459,3216,657,267,351,342,75,48,204,48,1319.2,1211.756147085708,1861.5,840.4904818021439,957.6666666666666,1284.3440176041447,859.6520490285693,575.5984317221358
2316,2082,774,1638,2160,648,3453,3528,657,321,351,342,117,39,432,99,1257.2,1146.1415968369702,1603.0,664.3982239590952,1026.6666666666667,1327.4989851429475,834.1138656123234,521.7775955263572
1677,1242,753,1602,2445,1470,3453,2571,726,303,285,543,174,48,456,174,1183.2,979.6775796148446,1531.5,508.96586329536876,951.0,1136.7163234510183,778.9591932049483,435.76527548841733
1332,1110,819,1476,2373,2226,2776,2571,861,285,312,543,150,78,261,141,1144.8666666666666,909.5321776727981,1556.0,564.9557504796283,870.7777777777778,989.0160966870927,731.7996147798216,428.66359696580287
1299,846,1026,1020,2169,1290,1809,2115,861,324,231,543,57,60,594,144,949.6,665.2643384399918,1275.0,430.3301058489866,732.6666666666666,704.6428567406012,586.2881128133305,333.5923392012822
1185,1266,753,759,1731,1338,1623,1401,775,363,156,529,93,21,654,93,843.1333333333333,538.1372646040744,1172.0,340.3850760535779,623.8888888888889,534.0797785692164,491.4235326458026,308.0169194590306
1005,822,795,546,1596,1278,1050,1401,633,385,441,384,96,84,303,123,721.2666666666667,451.45682210176227,1007.0,344.493831584834,530.7777777777778,412.1363792019923,431.9078295894763,244.63220480590198
888,678,723,651,1338,1050,1485,1222,633,408,441,384,279,63,324,141,704.4666666666667,403.136679331244,888.0,243.6657546722559,582.1111111111111,440.29092514544527,416.2011153326369,230.21972218895147
1017,705,651,678,1437,1050,1485,903,720,535,463,348,162,9,333,120,699.7333333333333,411.16200645920037,923.0,280.08748633239577,550.8888888888889,417.21815355317534,410.29844659751126,236.6759299776391
915,465,729,747,840,510,1086,903,1023,663,588,639,288,18,180,60,639.6,296.97515047559114,701.0,163.39828640472336,598.6666666666666,353.5565332761116,332.19171682519703,237.92743278724313
741,537,723,450,1089,510,867,994,1023,595,615,639,366,27,639,99,654.3333333333334,265.36130505825867,675.0,214.06774628607644,640.5555555555555,293.8306810661583,339.564879463864,232.70640389226355
792,597,534,546,933,702,816,729,991,528,615,559,249,9,573,78,611.5333333333333,239.43290407869083,684.0,143.2375649052999,563.2222222222222,275.74254408285265,309.6554124706747,223.40226044528006
633,762,474,744,627,786,963,729,1020,519,555,477,321,9,453,48,604.8,244.42863989311888,671.0,107.25670142233538,560.6666666666666,295.02014997096194,299.07621329770626,230.5736729106445
612,582,693,876,729,690,564,742,1020,510,555,477,414,27,309,60,586.6666666666666,227.75532680683648,697.0,94.4986772394196,513.1111111111111,258.79483269976384,291.47399782450105,219.68082335005553
648,405,690,534,1197,870,564,687,993,588,466,448,231,30,378,87,581.9333333333333,281.90553185223035,724.0,254.89801882321487,487.22222222222223,258.2835555387303,316.9462883951879,203.5692217656985
948,393,648,720,795,918,564,687,735,666,720,471,249,39,366,75,594.6,241.45856787449063,737.0,185.82787734890587,499.6666666666667,227.19643972171355,303.6861892914969,216.6414051690238
570,570,516,543,729,882,561,661,735,751,597,471,249,60,240,66,542.3333333333334,210.66677215187232,635.0,129.6919426949878,480.55555555555554,230.67924393028278,273.00003516173524,199.39481415724546
624,546,468,510,711,714,588,687,754,837,573,450,201,0,297,141,530.6666666666666,216.65076864750688,595.5,95.05393205964707,487.44444444444446,259.87565877683,296.1058117713912,168.7105127847531
570,498,447,771,546,750,648,687,717,699,411,669,297,18,411,111,542.6,196.64648484018218,597.0,122.00819644597652,506.3333333333333,226.3571416049327,283.4154949467274,186.57667920750853
459,894,471,660,579,786,393,843,717,561,411,669,273,39,450,141,547.0,219.27152117865194,641.5,158.77735984705123,484.0,231.0930548502053,302.42384039288396,175.8687600514072
507,558,648,462,486,486,393,567,588,552,483,562,255,39,309,171,459.6666666666667,151.06231238208363,524.5,62.65181561614955,416.44444444444446,175.34481021443378,260.57632634958344,141.01323945541762
426,333,441,393,579,474,366,567,468,543,339,438,315,9,321,126,400.8,134.1721282532255,441.0,75.63729238940273,374.0,156.18578680533003,220.32404275107515,127.65937562835877
396,669,435,429,345,444,468,420,468,498,294,438,321,51,462,108,409.2,127.00456684702327,453.0,102.10288928331069,380.0,133.4241357476225,214.73485561567443,137.7263293045867
477,633,453,615,261,528,348,276,465,453,354,424,213,39,450,69,399.26666666666665,150.6751325055185,494.5,123.40684745993636,335.77777777777777,132.69662792146752,206.31393305739505,140.45349140769315
