S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
21,21,9,30,48,144,63,18,9,9,45,132,9,9,18,30,39.0,42.014283285568496,45.5,45.609757727924844,34.666666666666664,38.83583682917393,37.0047610951895,5.103690457693315
69,0,0,39,9,114,9,22,9,0,45,132,96,39,0,60,38.86666666666667,42.84213917265207,38.5,41.76421913552317,39.111111111111114,43.544216211020476,47.236268613106255,9.170086317261651
18,18,27,18,30,42,9,18,9,0,45,75,96,30,33,60,31.2,24.63655820117737,25.5,8.789197915623474,35.0,30.397368307141328,38.61218606705912,15.359006710162129
18,27,18,9,39,9,9,18,18,0,54,27,0,9,21,48,18.4,13.85063175454463,20.0,10.488088481701515,17.333333333333332,15.606266547626168,26.750210584848208,15.140219075900944
9,9,30,0,114,9,9,30,18,48,66,27,9,30,21,36,28.6,28.267295590487606,28.5,39.29694644625712,28.666666666666668,17.38453974720706,30.9557651968292,3.5693978594124154
30,117,30,0,105,18,18,30,13,96,18,22,30,21,0,27,36.53333333333333,36.12546039691244,50.0,44.41846462902562,27.555555555555557,25.656323072105383,33.21959791008192,4.4010709837029225
192,156,9,21,18,0,36,30,30,48,9,36,63,0,0,18,43.2,54.649428176331355,66.0,77.36278174936577,28.0,20.248456731316587,38.61647605877712,15.309074981914923
21,51,0,21,9,75,45,19,30,0,9,36,33,0,0,39,23.266666666666666,21.32437311830969,29.5,25.71478174124758,19.11111111111111,16.549215788365217,27.863679928325453,7.9143896210671585
21,0,0,18,0,93,45,9,36,10,13,54,33,0,0,30,22.133333333333333,25.484287097913665,22.0,32.93933818400121,22.22222222222222,18.94892420152294,25.872540143748996,3.2232660901443246
21,0,0,18,87,18,27,9,21,21,9,9,33,9,0,21,18.8,20.624257562394824,24.0,29.444863728670914,15.333333333333334,10.044346115546242,20.14141918746494,0.9608502041520994
0,0,0,9,96,0,18,24,21,81,27,9,9,30,18,30,22.8,27.708482455739073,17.5,35.259750424527965,26.333333333333332,20.483055327649623,26.83616081857969,3.003410148369385
0,18,18,30,0,9,27,39,15,141,36,18,0,60,18,39,28.6,33.921084888310986,12.5,10.735455276791944,39.333333333333336,39.40671121635106,33.84036162943699,4.246165892770592
0,30,90,66,0,9,18,39,0,70,18,0,9,48,0,18,26.466666666666665,28.732946633128705,32.5,34.39840112563373,22.444444444444443,23.38143190706445,24.39987109993179,4.619001969646935
9,21,72,123,0,0,93,76,0,0,18,0,0,51,9,9,31.466666666666665,39.50842385562294,37.5,45.45602270326783,27.444444444444443,34.4032011143379,26.65836350742987,12.910740128330639
9,0,0,69,0,0,93,0,0,4,27,9,0,42,9,18,17.466666666666665,27.79176536714108,13.0,25.25866188063018,20.444444444444443,28.979345560861145,21.08614401126925,4.74658680438582
0,9,18,0,0,0,55,0,0,9,18,9,0,30,0,9,9.866666666666667,14.957123906538836,4.5,6.87386354243376,13.444444444444445,17.588576539656586,11.274596857735167,2.6278675609266373
21,30,9,0,0,0,0,0,0,9,0,9,0,9,0,0,5.8,8.79545337091841,10.0,11.704699910719626,3.0,4.242640687119285,4.86515112363947,3.6510689591063072
0,21,0,0,60,0,0,0,0,9,0,9,0,21,0,9,8.0,15.671630419327785,13.5,22.1641602593015,4.333333333333333,6.944222218666553,10.890543473109261,3.405299232125901
