S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
18,0,30,0,9,0,27,30,0,9,0,0,0,63,0,9,12.4,17.658992043715294,9.5,11.280514172678478,14.333333333333334,20.628997929021068,13.019664014571765,3.5620708790905686
9,0,18,9,9,9,0,19,0,0,0,0,18,9,9,9,7.266666666666667,6.845598748263166,9.0,5.196152422706632,6.111111111111111,7.534283781406527,7.704088471643277,0.9323320456336203
0,9,18,9,9,219,0,9,15,0,0,0,18,30,9,30,23.0,53.043378474603216,44.0,78.43468620451031,9.0,9.899494936611665,35.34779282486774,12.83485654030573
9,0,123,9,0,546,4,9,108,0,63,9,9,18,9,21,61.06666666666667,135.09673900168312,114.5,197.79850858891731,25.444444444444443,34.10803460610649,72.38780188944993,47.26268817121287
135,0,123,156,18,1578,45,19,108,678,159,9,0,18,48,9,206.26666666666668,400.96823925204956,335.0,558.979427170625,120.44444444444444,203.07694825750224,205.41163530623874,160.0215057516926
237,21,48,174,114,1926,99,144,175,1356,396,316,0,18,81,18,340.3333333333333,531.5207950358628,420.0,677.4046058302232,287.22222222222223,397.35032899271306,296.61804278973204,211.91062849552048
213,114,135,663,165,1410,285,144,576,837,936,420,9,0,279,0,412.4,386.87651776762056,450.0,468.41648134966385,387.3333333333333,318.7614921675592,266.4255059225402,188.67922459539236
411,300,381,1476,288,1770,171,163,576,318,936,420,72,0,573,30,523.6666666666666,487.1563290042417,771.0,609.8983521866575,358.77777777777777,282.1003673942142,346.9409985569694,224.60624600067374
432,528,495,1602,1428,2286,171,330,1390,439,1255,745,270,9,195,54,771.6666666666666,638.424797624765,1128.5,695.3109016835563,533.7777777777778,464.24964016686295,488.0304880971439,311.6891585803914
507,798,576,924,735,1854,264,330,1377,561,1290,987,198,75,69,222,703.0,498.0706777155226,899.0,448.65354116511776,572.3333333333334,486.3944444127169,474.3568925718409,197.0820602429024
885,1026,585,825,1161,954,513,528,1377,519,1185,987,51,42,240,219,725.2,397.98361775329397,906.0,178.77919342026354,604.6666666666666,454.26448487882277,447.394539251098,209.587991660538
840,1314,441,828,1215,810,921,804,1185,477,1056,823,114,9,195,183,735.4666666666667,391.6542466115858,908.0,288.0399277877982,620.4444444444445,408.98468080822107,436.7069710927508,227.78230167102723
642,1002,702,801,1029,834,744,804,999,642,996,672,150,9,291,111,687.8,302.2048311989734,835.0,142.3727502017152,589.6666666666666,338.5619916975652,367.00161039965775,239.8937639123989
603,774,861,894,849,1170,537,661,999,807,996,672,198,0,537,174,703.8666666666667,295.2097258259325,858.5,168.7253685727194,600.7777777777778,315.7543974455033,391.0254641641997,226.6791607773589
669,798,660,921,714,714,537,507,1000,781,921,709,213,0,402,345,636.4,261.5336307246164,746.0,90.09439494219383,563.3333333333334,308.61230622830897,414.31121024153873,160.69480722223554
0,0,0,0,0,0,646,507,768,756,879,798,126,18,414,474,327.46666666666664,348.7357866478416,0.0,0.0,545.7777777777778,289.0416262900468,383.4008177715028,64.64906666790966
0,0,0,0,0,0,819,682,768,658,708,798,129,48,501,420,340.73333333333335,348.8265025609277,0.0,0.0,567.8888888888889,271.6629629377158,369.8532786314204,35.61268589561958
0,0,0,0,0,0,609,528,727,561,414,705,105,30,117,333,253.06666666666666,285.9264396464393,0.0,0.0,421.77777777777777,255.14300032978358,290.6643687710353,32.80417070776942
0,0,0,0,0,0,660,528,441,490,414,684,168,9,120,267,234.26666666666668,259.19219809931695,0.0,0.0,390.44444444444446,225.80724873273425,253.48628825532788,13.959126838466082
0,0,0,0,0,0,519,492,441,420,414,684,165,0,327,387,230.8,238.98150556057678,0.0,0.0,384.6666666666667,189.73548839253968,285.59383518685894,71.78273680531592
0,0,0,0,0,0,519,453,433,327,430,541,240,18,444,354,227.0,220.40780385458226,0.0,0.0,378.3333333333333,153.9855693094504,267.1359346181941,61.48110090911897
0,0,0,0,0,0,409,453,447,234,360,189,183,39,243,423,170.46666666666667,173.31122935984908,0.0,0.0,284.1111111111111,133.3178694736293,255.5926320088386,118.38058125533078
0,0,0,0,0,0,321,438,447,306,237,189,216,30,177,324,157.4,160.72411144566954,0.0,0.0,262.3333333333333,124.6042624560742,214.04137048188986,77.76433451290106
0,0,0,0,0,0,471,348,424,378,396,223,138,42,204,150,174.93333333333334,178.05409914467631,0.0,0.0,291.55555555555554,137.24763597325426,167.66247749266986,12.554073129111378
0,0,0,0,0,0,591,348,237,316,231,126,75,42,258,294,148.26666666666668,171.24153182631318,0.0,0.0,247.11111111111111,156.35603562556585,204.50273283099327,63.975420958971476
0,0,0,0,0,0,546,427,237,255,231,126,120,0,363,303,153.66666666666666,175.65939263877186,0.0,0.0,256.1111111111111,158.71318956914033,210.77535310181284,65.8278518589333
0,0,0,0,0,0,546,405,231,382,238,159,222,9,264,303,163.73333333333332,175.17285431507042,0.0,0.0,272.8888888888889,146.1342187050768,213.96872921613462,63.12760116417845
0,0,0,0,0,0,376,405,135,510,270,138,246,57,99,390,149.06666666666666,166.51785356398142,0.0,0.0,248.44444444444446,146.70992628017984,235.19484007688266,109.69537861778164
0,0,0,0,0,0,171,388,135,322,117,138,123,78,99,156,104.73333333333333,115.73099075970197,0.0,0.0,174.55555555555554,100.6723079115946,125.48810803101178,22.03737402478415
0,0,0,0,0,0,108,375,120,135,129,136,90,21,48,177,77.46666666666667,96.91223979571528,0.0,0.0,129.11111111111111,94.79151912890431,117.12630215412732,43.074952883576
0,0,0,0,0,0,156,375,192,115,93,222,69,30,93,108,89.66666666666667,105.41705533525189,0.0,0.0,149.44444444444446,97.91732466287976,101.02790733397285,8.102519892421391
0,0,0,0,0,0,147,243,192,96,93,222,57,42,150,87,82.8,85.38009135624064,0.0,0.0,138.0,67.32013071882734,85.06003045208023,1.729514235612416
0,0,0,0,0,0,147,54,129,82,91,142,48,84,141,90,61.2,57.38431841539986,0.0,0.0,102.0,36.42343567906063,69.52810613846661,14.55938838452541
0,0,0,0,0,0,163,54,0,69,174,135,171,60,81,186,60.46666666666667,66.98543788681903,0.0,0.0,100.77777777777777,58.44613432284424,104.4840348511619,57.701894972725185
