S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
12863,18,114,87,1200,117,45,75,78,42,63,54,297,30,72,48,1010.3333333333334,3180.528481592678,2399.8333333333335,4697.09390356302,84.0,76.86351540230254,1412.9539383086703,1310.1555087495942
43380,9,177,237,129,81,108,18,78,36,63,40,81,39,36,57,2967.4666666666667,10800.869161733648,7335.5,16119.748858155328,55.44444444444444,27.17887705599132,4608.445276133439,4537.054054388041
5784,39,159,234,630,171,135,18,67,36,45,18,96,48,66,39,503.06666666666666,1419.1258561366417,1169.5,2071.874091251686,58.77777777777778,35.69244482077335,653.7308409344361,573.41759928233
3213,147,48,285,90,525,228,169,60,36,45,18,126,18,78,132,339.06666666666666,778.7944929326493,718.0,1126.8753258457655,86.44444444444444,68.9768255948025,416.6203865331053,269.6871194808807
42681,1254,60,2028,330,1413,228,474,60,27,81,105,114,132,93,135,3272.0,10548.965238353949,7961.0,15541.326648648757,146.0,127.27922061357856,4651.98841278465,4362.0288865753
35712,1890,477,1236,1872,69,1069,474,51,18,285,162,63,144,72,93,2906.266666666667,8790.128345416173,6876.0,12913.217763206814,259.77777777777777,316.29092718142255,3929.7983373609463,3623.600711524936
5760,1782,690,1725,816,159,2151,1264,108,174,372,162,51,90,42,39,1023.0666666666667,1443.1339723747833,1822.0,1851.9306142509768,490.44444444444446,689.5012869395953,835.0668796804833,588.4476714341358
2007,1170,567,2046,840,336,2628,2397,108,330,519,391,60,60,72,81,902.0666666666667,884.0953543343362,1161.0,662.7624008647443,729.4444444444445,967.148168714036,622.3873403336676,382.8889579864362
2331,1890,534,1977,1017,621,2886,2397,180,613,690,1026,39,42,231,111,1098.2666666666667,916.3197016083172,1395.0,700.3720439880507,900.4444444444445,987.1954789099508,708.5287894249947,428.9962433147566
2256,2010,1491,1311,1386,1098,2310,2277,309,897,690,1026,96,42,537,36,1182.4,751.7107422406573,1592.0,406.4591000334474,909.3333333333334,803.2614075684756,656.7035807468858,472.8128668238826
1743,2406,1350,1740,1689,1014,2310,2196,309,921,844,982,54,18,537,30,1207.5333333333333,764.0400396721511,1657.0,425.05058522486473,907.8888888888889,792.4748077936953,667.1911243351615,485.579359857371
1977,1554,1212,1452,1323,882,2038,2196,514,945,810,804,57,21,678,39,1097.5333333333333,645.9734635072523,1400.0,333.90268043248767,895.8888888888889,720.7572321207197,594.1689322801952,433.6941983596166
2085,1578,1203,1239,1785,657,1617,1759,924,771,912,804,114,9,1143,81,1106.6666666666667,578.5913545461559,1424.5,458.67771910133155,894.7777777777778,552.6730554069372,588.7526737376076,418.78830537919015
1461,1614,1317,1158,2055,630,1650,1749,924,597,789,814,363,84,594,90,1053.2666666666667,551.5311374306582,1372.5,434.42634588615823,840.4444444444445,517.6165700402634,564.932601365775,393.3661290320431
1425,1146,1128,1077,1392,978,1434,1749,817,762,831,651,360,111,609,96,964.6666666666666,424.44703896821915,1191.0,163.0521389004143,813.7777777777778,474.9907081612294,495.03790187829526,358.1273022164384
930,918,1047,1050,1134,906,1329,1665,726,927,831,651,270,153,423,90,864.0,376.8426727428835,997.5,84.74225628339147,775.0,460.53664349321866,443.6142242476278,319.49212829923584
1107,918,672,867,1098,1230,1329,1257,726,973,733,708,396,192,312,72,834.5333333333333,335.9497713779381,982.0,184.39360075664231,736.2222222222222,375.8639759208931,414.1610349037571,316.1771891601711
786,882,936,831,1272,1002,1249,1257,792,1020,720,645,444,117,216,63,811.2666666666667,337.8047693893948,951.5,159.29610792483285,717.7777777777778,389.1265940190152,404.0238120186871,309.0463528514411
792,930,747,714,1059,1122,990,1161,1080,802,750,645,378,54,558,66,785.4666666666667,289.7446845452427,894.0,155.4123547212383,713.1111111111111,332.76065620951596,380.4037837373032,300.635299891023
732,738,654,537,753,1314,1152,1251,1080,585,576,624,336,72,738,36,742.8,326.444114665895,788.0,246.4731222669117,712.6666666666666,367.2059670297069,368.4147048886316,290.0720690135857
750,738,660,771,864,1290,1095,1251,1093,550,516,495,240,69,372,21,716.9333333333333,347.47478885365035,845.5,207.58913748074585,631.2222222222222,392.6020823451251,361.80270739566123,284.294176336673
690,678,621,720,1041,966,996,1117,1206,516,516,495,468,63,195,18,685.8666666666667,319.70421051688106,786.0,158.05378831271335,619.1111111111111,377.56660764675223,341.1902923945159,273.0783891082686
747,666,546,555,726,918,996,864,1206,816,402,573,525,168,273,78,665.4,266.24094350794354,693.0,126.49901185384809,647.0,326.53636857171057,336.5469811693145,244.903918845373
807,786,513,393,765,942,820,864,1173,1116,318,567,330,99,591,60,672.2666666666667,295.63388769820614,701.0,187.4593289223025,653.1111111111111,348.31162434567267,342.63351812162426,252.15648808194643
822,1302,816,510,711,870,519,780,750,969,399,567,204,51,513,57,652.2,299.5652850381699,838.5,238.31754026928022,528.0,270.44038160008574,336.2550950127233,244.37043822439824
768,642,576,606,891,594,420,600,750,822,477,585,231,129,417,48,567.2,201.6942240124888,679.5,113.57486517711567,492.3333333333333,212.576783513367,272.29807467082964,217.7626196815223
756,666,483,498,474,474,609,600,726,792,480,534,183,117,336,27,515.2,187.1046765850603,558.5,111.20813819141115,486.3333333333333,219.13212655584962,243.1015588616868,203.20194900398437
693,1038,693,312,339,546,618,519,621,762,480,534,192,81,288,90,514.4,236.46107502081603,603.5,245.98424746312517,455.0,209.83326714322493,280.2870250069387,176.01018042363268
540,906,546,441,441,621,618,477,621,558,465,765,261,114,138,72,500.8,205.13644239871178,582.5,157.7537638219767,446.3333333333333,214.7732654581467,259.31214746623726,179.19935875010384
438,570,429,465,396,750,708,477,622,354,468,687,180,183,225,90,463.46666666666664,175.6522574735536,508.0,121.06609764917675,433.77777777777777,198.61508154539513,243.03964138007345,159.73964736428937
582,1074,387,558,543,393,402,427,630,553,333,687,231,99,360,108,483.93333333333334,217.87166456935657,589.5,230.06140484661915,413.55555555555554,177.32839035160546,269.93499930089666,157.82777722421375
648,1206,357,348,429,429,513,396,630,753,468,612,228,81,357,90,497.0,251.56788348276893,569.5,301.38389140761984,448.6666666666667,197.6922411786113,279.52262782758964,167.3287199866144
540,1182,420,345,522,366,720,396,507,715,438,357,237,30,360,51,475.6666666666667,251.15192392034123,562.5,286.4005062844687,417.77777777777777,205.1036473903853,259.2728635290027,173.46451450664696
342,690,579,402,606,738,612,367,642,678,438,357,219,21,342,93,468.8666666666667,194.93413132531603,559.5,143.49651563714013,408.44444444444446,201.1904079396271,252.26693266399423,158.71195157639733
459,714,384,414,384,594,612,426,642,510,429,384,240,114,306,195,440.8,152.548221884098,491.5,122.60199835239229,407.0,160.95962226595836,262.7827406280326,127.06467340697064
432,810,357,213,303,324,480,426,433,342,282,240,228,75,384,108,355.26666666666665,158.66714285642828,406.5,191.86518704548774,321.1111111111111,120.4191240297768,207.31126984103165,106.64548569499405
381,558,360,294,429,660,282,483,399,618,264,240,219,60,246,117,366.2,157.89794172186032,447.0,124.73171208638162,312.3333333333333,154.683188772694,213.69931390728675,109.11921570262
510,261,402,477,492,522,567,615,399,894,213,226,141,51,264,138,402.26666666666665,208.39048815998189,444.0,90.44888059008801,374.44444444444446,254.92836079142404,249.5523849422162,111.74358769913454
609,597,324,438,294,417,546,615,417,678,192,324,294,48,324,108,407.8,170.37065475016522,446.5,121.2858194514099,382.0,192.10934386437324,228.72355158338837,129.16089559569127
447,954,453,462,360,348,432,463,342,462,192,324,270,54,384,96,396.46666666666664,185.8328520173139,504.0,206.23045361924605,324.77777777777777,127.88343457815861,226.09983956132683,125.92624073598722
390,705,348,276,303,396,432,342,342,406,222,285,309,90,237,99,338.8666666666667,128.6384425002452,403.0,141.7603611733548,296.1111111111111,98.04244482699481,188.83503638897062,106.77617362594692
291,462,306,183,285,402,433,342,312,351,174,315,252,60,117,60,285.6666666666667,109.32804865276897,321.5,89.35463054593198,261.77777777777777,114.76718247321186,151.66490510647856,96.86990647907677
288,333,444,192,216,285,546,355,378,307,165,315,273,60,144,150,286.73333333333335,118.0573118823603,293.0,82.28000972289685,282.55555555555554,136.64643029944196,184.9302150718979,73.15731905448267
408,240,291,150,132,333,510,309,378,264,234,417,441,84,171,144,290.8,120.74005134999736,259.0,97.52948272189288,312.0,129.73819792181484,185.1800171166658,75.28586361775606
378,393,258,555,201,333,228,309,318,262,351,393,246,42,177,93,296.26666666666665,114.04529314657789,353.0,112.21853679316978,258.44444444444446,98.51690335629506,167.7706532710815,91.26571165129194
303,246,336,195,411,417,264,298,321,261,351,393,186,51,252,153,285.6666666666667,93.0903981204411,318.0,80.94442537939224,264.1111111111111,94.41097446147577,177.25235492903593,80.4675393828673
195,255,183,162,453,228,264,264,321,273,225,292,177,60,216,123,237.86666666666667,83.9459085099182,246.0,97.36529155710468,232.44444444444446,73.1529768682817,148.27085839219495,65.32922858259714
303,273,174,246,360,252,244,264,277,285,144,300,144,72,156,111,232.93333333333334,75.074599936034,268.0,56.70097000933934,209.55555555555554,76.70739658832142,139.66931108978912,67.55882363403632
210,387,105,180,339,270,348,175,411,336,237,300,219,42,336,123,259.6666666666667,101.99651410165394,248.5,95.39523048874089,267.1111111111111,105.5150799590534,161.5543935894402,69.90374430246065
252,297,135,105,120,393,225,192,411,387,219,271,159,75,351,123,239.46666666666667,106.87554548268852,217.0,105.89145385724005,254.44444444444446,104.88629940306377,156.44740404978506,59.07141430764562
252,165,198,495,189,213,162,192,331,271,216,282,159,60,195,57,225.33333333333334,94.38125991012316,252.0,111.82128598795491,207.55555555555554,75.63231395098425,125.57153108115217,72.17410680463145
252,270,204,438,213,180,153,223,222,156,216,282,219,45,252,129,221.66666666666666,80.42360073731811,259.5,85.23643587105224,196.44444444444446,65.9243861659555,143.69675580132824,58.59122170651779
363,258,246,102,165,129,153,327,222,177,276,261,225,63,96,249,204.2,84.34548002116058,210.5,88.74823941915693,200.0,81.00617260431454,179.18182667372017,69.50879793140501
420,264,246,156,297,48,202,327,304,198,309,186,87,174,96,219,220.93333333333334,98.58293744637334,238.5,115.59087334214583,209.22222222222223,83.35036862916255,179.50542359323558,57.22628194333017
246,240,297,189,231,99,189,238,342,171,162,186,204,93,81,174,197.86666666666667,70.32104157994881,217.0,61.47357155721473,185.11111111111111,72.90853393799422,147.39590274887183,55.36427917349484
189,102,276,69,90,165,357,189,342,144,66,165,129,57,129,90,164.6,91.2767221146772,148.5,70.79724570913758,175.33333333333334,101.27300835969189,115.2922407048924,34.869746675953245
159,246,402,138,102,219,294,189,217,117,249,63,150,36,36,234,174.46666666666667,97.37478569367374,211.0,98.05100713404222,150.11111111111111,88.94248384264274,168.6138174534468,55.930338690177265
240,267,261,123,162,168,90,175,210,90,249,63,165,27,102,126,159.46666666666667,73.21918388570641,203.5,54.974994315597705,130.11111111111111,69.0353282255533,119.56195018412437,35.50345932052989
147,105,300,54,201,90,90,246,210,157,160,132,39,87,162,117,145.33333333333334,69.73632880755594,149.5,81.59810046808688,142.55555555555554,60.39152094846706,110.68988738029644,31.18322106809589
141,54,207,183,111,129,112,246,195,225,162,210,129,96,132,54,155.46666666666667,52.20710892418983,137.5,49.429242357131066,167.44444444444446,50.5483511350186,87.22459186361884,48.25998476772113
150,444,105,180,93,240,171,183,195,162,186,210,138,36,138,75,175.4,86.76082065079837,202.0,118.66338946785567,157.66666666666666,48.705463987341524,112.38694021693279,44.814904537169056
246,165,99,135,219,129,144,234,195,99,117,168,129,72,78,57,148.6,53.09086550434077,165.5,51.68413683133346,137.33333333333334,50.98583681333038,86.23028850144692,44.130911444895744
183,204,45,78,198,306,351,234,196,249,147,147,87,135,39,108,173.26666666666668,87.42270236551195,169.0,86.30179604156567,176.11111111111111,88.04726564552882,122.89645634405953,36.594397207244135
114,177,126,111,159,258,360,204,303,399,147,147,111,60,102,57,185.2,97.17695199994698,157.5,50.87484643711468,203.66666666666666,114.72091739909025,113.125650666649,53.53865109663576
123,66,198,237,120,183,360,159,303,267,118,219,156,138,90,60,182.46666666666667,79.44798438111708,154.5,57.04603404269222,201.11111111111111,86.49527211799169,107.30488368259459,53.737176703722255
141,39,234,180,54,81,225,159,228,135,54,138,102,99,99,81,131.2,62.13662366109057,121.5,70.07317603762513,137.66666666666666,55.28913897764089,91.44554122036352,29.146406140634145
144,93,168,84,39,180,99,150,111,102,72,138,120,75,210,285,119.0,44.384682042344295,118.0,50.06995106848019,119.66666666666667,40.13588031785137,149.46156068078145,100.56461544134244
114,108,105,279,96,159,192,135,111,69,36,157,96,144,123,207,128.26666666666668,54.427280741268795,143.5,63.86117756509036,118.11111111111111,44.27802174755037,129.8979824693118,62.29823196494355
