S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
0,0,0,0,0,0,63,27,51,96,102,90,171,60,63,48,48.2,49.652391684590576,0.0,0.0,80.33333333333333,39.08395521893294,48.617463894863526,0.7363453209203716
0,0,0,0,0,0,63,27,51,106,96,67,195,72,138,51,54.333333333333336,57.856911620153234,0.0,0.0,90.55555555555556,47.94698718633855,54.39674831782886,2.7996815696125203
0,0,0,0,0,0,63,75,94,117,63,36,213,21,96,30,51.86666666666667,58.91108177207031,0.0,0.0,86.44444444444444,52.869043895923966,46.92591614624566,12.309100267325645
0,0,0,0,0,0,126,309,81,117,111,36,135,84,105,0,73.6,81.76209390665089,0.0,0.0,122.66666666666667,71.57435915807342,51.7873646355503,36.770489038147886
0,0,0,0,0,0,225,309,81,117,171,72,60,69,114,51,81.2,90.6408296519841,0.0,0.0,135.33333333333334,79.79278719839839,74.28027655066137,16.90681861135522
0,0,0,0,0,0,372,312,66,76,153,135,99,30,141,123,92.26666666666667,112.65846123966406,0.0,0.0,153.77777777777777,108.13959885031095,109.3083759687769,12.768496333714102
0,0,0,0,0,0,447,225,48,36,153,135,36,63,129,123,84.8,118.23941813117992,0.0,0.0,141.33333333333334,123.7371766644483,108.67980604372663,16.99705145894305
0,0,0,0,0,0,447,225,48,57,150,117,105,51,81,69,85.4,116.32299858583427,0.0,0.0,142.33333333333334,120.20075799354271,90.24099952861143,19.62044862069044
0,0,0,0,0,0,475,331,105,78,234,129,156,33,48,60,105.93333333333334,137.3785362501079,0.0,0.0,176.55555555555554,137.78978442307695,101.10395652781375,31.773695916586767
3663,762,723,2994,4620,474,657,437,198,231,354,129,159,75,57,69,1035.5333333333333,1410.9195520022474,2206.0,1625.5992741140112,255.22222222222223,184.1043048430112,838.4842951118602,565.2776684128982
3297,2610,645,1857,1038,654,564,960,198,384,384,199,126,51,147,90,874.2666666666667,939.5143757400534,1683.5,1003.9015140938876,334.77777777777777,267.66761219333944,634.5936808022401,386.0060653773292
2508,1518,585,804,474,618,555,864,391,219,225,285,69,9,129,51,616.8666666666667,626.6555530929428,1084.5,722.5865000122823,305.1111111111111,251.85112200329976,431.5074065865365,269.089044029141
1398,1302,282,807,921,510,735,864,492,54,225,285,93,54,228,81,550.0,422.55745171514843,870.0,397.3499716874282,336.6666666666667,280.27764012770547,351.18581723838287,198.00788310218658
942,1146,366,678,1227,762,735,868,492,129,214,193,153,78,246,129,548.6,373.4051954646588,853.5,291.4674081265348,345.3333333333333,269.17817312867123,350.33506515488625,172.07597776250353
660,702,405,603,777,537,793,873,388,204,234,192,108,57,276,126,453.93333333333334,261.17056155359893,614.0,119.83321743156193,347.22222222222223,275.0308175773834,280.36796496231074,134.56466351660427
507,690,456,342,492,540,675,765,390,208,204,192,51,27,378,141,394.46666666666664,218.870088307095,504.5,103.75572273373648,321.1111111111111,243.3326230329562,251.4455849912539,106.01009390915725
540,633,408,261,561,582,849,870,390,213,216,196,51,27,339,111,409.06666666666666,251.49936160731878,497.5,126.01686395082207,350.1111111111111,293.50239235990506,257.18867609132843,121.75168902022924
432,429,315,234,672,666,483,870,373,192,189,330,84,69,372,111,380.6666666666667,217.13027323603575,458.0,163.91156152022955,329.1111111111111,232.42128629062282,236.26564663423414,110.9193390534886
420,645,303,150,540,630,507,657,477,171,189,330,114,120,534,99,385.8,194.12202348007813,448.0,178.42365314049593,344.3333333333333,193.08950141205386,226.30734116002603,119.27693547823729
474,798,300,171,294,570,507,486,477,166,198,355,138,135,279,90,356.53333333333336,185.1100093337893,434.5,207.8924000534892,304.55555555555554,146.77353009246073,210.54778088904087,110.28845394605706
357,690,303,171,144,345,535,486,652,162,198,354,93,84,312,81,325.73333333333335,186.9340228232648,335.0,178.42365314049593,319.55555555555554,192.15046830319153,197.88911871886603,100.21181469159039
354,537,330,315,321,468,423,408,426,268,390,354,90,42,288,30,334.26666666666665,125.63941349044185,387.5,84.59462157844315,298.77777777777777,135.60709402762558,163.30202671903615,127.0391158594237
291,345,237,483,390,582,327,327,426,375,399,262,27,18,321,18,320.6666666666667,143.6382802582778,388.0,115.99137898999219,275.77777777777777,142.7575861208844,160.76831564164817,124.15543044091794
285,201,204,501,303,570,429,327,319,361,174,228,51,36,228,18,281.1333333333333,142.96986473457343,344.0,141.9718281913704,239.22222222222223,127.43083333303058,147.36773268930224,107.46873563875278
288,177,183,348,267,414,315,364,279,348,174,228,69,42,357,18,256.8666666666667,106.06404773636646,279.5,84.48816485165244,241.77777777777777,115.85026521599889,126.97690480101103,98.63174541044347
306,180,204,300,255,258,315,312,279,280,288,315,195,21,261,27,251.26666666666668,74.73639601217661,250.5,46.07873696185693,251.77777777777777,88.84290477238495,117.66768755961442,96.45795730055237
279,489,258,282,150,345,288,312,271,213,273,327,186,114,201,69,265.8666666666667,86.73627973473512,300.5,102.28514066080176,242.77777777777777,65.04661196707374,140.53431546713395,88.91866169936604
345,390,192,363,111,252,240,360,261,291,129,327,45,75,264,90,243.0,106.6977038178423,275.5,100.15113578986511,221.33333333333334,105.4208497193774,146.5659012726141,68.52909297624139
279,450,174,324,102,171,378,378,261,369,225,313,93,66,237,78,254.66666666666666,112.61418896194013,250.0,115.64168798491312,257.77777777777777,110.44030844032926,148.42695187620225,76.44036136510886
273,726,162,105,159,204,288,264,375,348,108,279,147,36,189,57,244.2,157.85360306309136,271.5,209.56204331891786,226.0,106.8831137270991,153.01786768769713,76.50053704589543
129,450,138,108,447,438,279,234,258,327,108,279,225,27,216,27,244.2,126.64975325676714,285.0,160.2872421623131,217.0,88.06815542521599,132.61658441892237,88.77185103994864
192,438,231,237,420,393,279,234,258,258,219,229,273,45,225,18,262.06666666666666,93.88252706914577,318.5,100.36059983878135,224.44444444444446,66.60682499415859,124.6497312452708,101.98725438032594
