S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
99,138,93,195,93,93,94,93,21,0,135,45,60,57,60,57,85.06666666666666,46.83085402690078,118.5,37.77896239972718,62.77777777777778,38.232556742411674,62.965840231189155,16.169679017714532
90,117,45,60,57,60,147,112,21,0,54,45,102,102,42,57,70.26666666666667,38.56503885933764,71.5,24.45914961727002,69.44444444444444,45.58779347128184,55.277235175334766,12.99933948038469
198,159,39,1512,225,1362,90,192,42,0,36,58,48,114,33,138,273.8666666666667,461.9200315590952,582.5,608.5476563096764,68.11111111111111,53.77410455774837,291.2622327419206,132.81064465526399
462,138,177,486,465,528,144,192,54,0,207,231,51,69,18,99,214.8,176.51220920944817,376.0,156.40012787718558,107.33333333333333,82.14350586355293,163.43740306981604,48.170688990240535
750,198,441,864,897,390,180,297,54,0,207,231,0,138,60,120,313.8,290.36900661055404,590.0,261.658173959844,129.66666666666666,100.58606044356024,241.3896688701847,86.3668209600341
1293,714,1146,1764,798,372,180,738,91,0,463,475,63,99,18,129,547.6,511.4210007420501,1014.5,448.4386803120355,236.33333333333334,244.20665201605155,396.00700024735005,189.3793083252814
2046,1326,1017,2997,1236,402,418,738,93,0,528,669,132,27,18,141,776.4666666666667,819.7284807924037,1504.0,824.4082726416566,291.44444444444446,280.5510890733574,579.0650491530236,310.26186424528885
1410,1170,762,1563,1386,282,1857,2221,93,0,684,669,87,45,42,99,818.0666666666667,714.5791737488265,1095.5,443.5484753665601,633.1111111111111,796.4676800926067,543.8819468051644,317.4033976319618
1059,726,684,1029,1500,330,1740,2865,91,0,426,654,51,48,54,39,750.4666666666667,772.3241863938283,888.0,365.80732633450634,658.7777777777778,940.1669801781405,520.596951020165,340.6573598364347
1146,1974,795,936,1272,798,1950,2865,366,0,654,756,48,27,30,72,907.8,806.6083064288392,1153.5,406.1049741138367,744.0,952.5429124191728,595.4694354762797,372.44697798956673
990,918,510,630,738,702,1674,2352,366,0,654,756,81,39,27,39,695.8,618.1373310195721,748.0,163.425824152733,661.0,784.8503041981955,450.9791103398573,293.0335169175546
