Date_Time,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0
2021-04-20 16:29:43,48,16,0,0,0,0
2021-04-20 16:29:53,39,13,0,0,0,0
2021-04-20 16:30:03,33,11,0,0,0,0
2021-04-20 16:30:14,75,25,0,0,0,0
2021-04-20 16:30:24,54,18,0,0,0,0
2021-04-20 16:30:34,21,7,0,0,0,0
2021-04-20 16:30:44,39,10,0,0,0,0
2021-04-20 16:30:54,27,9,0,0,0,0
2021-04-20 16:31:04,27,9,0,0,0,0
2021-04-20 16:31:14,45,15,0,0,0,0
2021-04-20 16:31:24,27,9,0,0,0,0
2021-04-20 16:31:34,72,16,0,0,0,0
2021-04-20 16:31:44,84,25,0,0,0,0
2021-04-20 16:31:54,138,43,0,0,0,0
2021-04-20 16:32:04,51,17,0,0,0,0
2021-04-20 16:32:14,18,3,0,0,0,0
2021-04-20 16:32:24,30,7,0,0,0,0
2021-04-20 16:32:34,150,36,0,0,0,0
2021-04-20 16:32:44,57,13,0,0,0,0
2021-04-20 16:32:54,39,10,0,0,0,0
2021-04-20 16:33:04,39,6,0,0,0,0
2021-04-20 16:33:14,51,17,0,0,0,0
2021-04-20 16:33:24,84,28,0,0,0,0
2021-04-20 16:33:34,111,29,0,0,0,0
2021-04-20 16:33:44,141,31,0,0,0,0
2021-04-20 16:33:54,39,13,0,0,0,0
2021-04-20 16:34:04,63,21,0,0,0,0
2021-04-20 16:34:14,93,31,0,0,0,0
2021-04-20 16:34:24,48,16,0,0,0,0
2021-04-20 16:34:34,72,24,0,0,0,0
2021-04-20 16:34:44,72,24,0,0,0,0
2021-04-20 16:34:54,159,49,3,0,0,0
2021-04-20 16:35:04,147,45,3,0,0,0
2021-04-20 16:35:14,57,19,0,0,0,0
2021-04-20 16:35:24,9,3,0,0,0,0
2021-04-20 16:35:34,9,3,0,0,0,0
2021-04-20 16:35:44,36,6,0,0,0,0
2021-04-20 16:35:54,69,17,0,0,0,0
2021-04-20 16:36:04,60,17,0,0,0,0
2021-04-20 16:36:14,90,27,3,0,0,0
2021-04-20 16:36:24,90,30,3,0,0,0
2021-04-20 16:36:34,9,3,0,0,0,0
2021-04-20 16:36:44,18,6,0,0,0,0
2021-04-20 16:36:54,18,6,0,0,0,0
2021-04-20 16:37:04,39,9,0,0,0,0
2021-04-20 16:37:14,123,37,10,0,0,0
2021-04-20 16:37:24,210,67,10,0,0,0
2021-04-20 16:37:34,48,13,3,3,3,0
2021-04-20 16:37:44,60,13,0,0,0,0
2021-04-20 16:37:54,90,23,3,3,3,0
2021-04-20 16:38:04,57,16,3,3,3,0
2021-04-20 16:38:14,36,6,0,0,0,0
2021-04-20 16:38:24,36,9,0,0,0,0
2021-04-20 16:38:34,39,13,0,0,0,0
2021-04-20 16:38:44,30,7,0,0,0,0
2021-04-20 16:38:54,21,7,0,0,0,0
2021-04-20 16:39:04,69,23,0,0,0,0
2021-04-20 16:39:14,48,16,0,0,0,0
2021-04-20 16:39:24,51,13,0,0,0,0
2021-04-20 16:39:34,60,20,0,0,0,0
2021-04-20 16:39:44,39,13,0,0,0,0
2021-04-20 16:39:54,105,31,0,0,0,0
2021-04-20 16:40:04,102,30,0,0,0,0
2021-04-20 16:40:14,81,23,0,0,0,0
2021-04-20 16:40:24,39,13,0,0,0,0
2021-04-20 16:40:34,39,13,3,3,3,3
2021-04-20 16:40:44,51,13,3,3,3,3
2021-04-20 16:40:54,21,3,0,0,0,0
2021-04-20 16:41:04,9,3,0,0,0,0
2021-04-20 16:41:14,51,13,0,0,0,0
2021-04-20 16:41:24,81,19,0,0,0,0
2021-04-20 16:41:34,87,22,0,0,0,0
2021-04-20 16:41:44,60,13,0,0,0,0
2021-04-20 16:41:54,72,13,0,0,0,0
2021-04-20 16:42:04,81,14,3,3,3,0
2021-04-20 16:42:14,111,24,6,3,3,0
2021-04-20 16:42:24,99,26,3,0,0,0
2021-04-20 16:42:34,81,20,0,0,0,0
2021-04-20 16:42:44,69,20,0,0,0,0
2021-04-20 16:42:54,42,14,0,0,0,0
2021-04-20 16:43:04,54,18,7,0,0,0
2021-04-20 16:43:14,87,29,7,0,0,0
2021-04-20 16:43:24,72,20,0,0,0,0
2021-04-20 16:43:34,57,15,0,0,0,0
2021-04-20 16:43:44,78,22,0,0,0,0
