S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
12863.0,18.0,114.0,87.0,1200.0,117.0,45.0,75.0,78.0,42.0,63.0,54.0,297.0,30.0,72.0,48.0,1010.3333333333334,3180.528481592678,2399.8333333333335,4697.09390356302,84.0,76.86351540230254,1412.9539383086703,1310.1555087495942
15914.7,17.1,120.3,102.0,1092.9,113.4,51.3,69.3,78.0,41.4,63.0,52.6,275.4,30.9,68.4,48.9,1206.0466666666666,3942.562549606775,2893.4,5839.359399022251,81.14444444444445,71.89505156767142,1732.5030720911473,1632.8453633134388
18966.4,16.2,126.6,117.0,985.8,109.8,57.6,63.6,78.0,40.8,63.0,51.2,253.8,31.8,64.8,49.8,1401.76,4704.596617620872,3386.9666666666667,6981.6248944814815,78.28888888888889,66.9265877330403,2052.052205873624,1955.5352178772835
22018.1,15.3,132.9,132.0,878.7,106.2,63.9,57.9,78.0,40.2,63.0,49.8,232.2,32.7,61.2,50.7,1597.4733333333334,5466.630685634969,3880.5333333333333,8123.890389940712,75.43333333333334,61.95812389840918,2371.6013396561007,2278.225072441128
25069.8,14.4,139.2,147.0,771.6,102.6,70.2,52.2,78.0,39.6,63.0,48.4,210.6,33.6,57.6,51.6,1793.1866666666665,6228.6647536490655,4374.1,9266.155885399943,72.57777777777778,56.989660063778054,2691.1504734385776,2600.914927004973
28121.5,13.5,145.5,162.0,664.5,99.0,76.5,46.5,78.0,39.0,63.0,47.0,189.0,34.5,54.0,52.5,1988.9,6990.6988216631635,4867.666666666666,10408.421380859174,69.72222222222223,52.02119622914693,3010.6996072210545,2923.604781568817
31173.199999999997,12.6,151.8,177.0,557.4000000000001,95.4,82.8,40.8,78.0,38.4,63.0,45.6,167.39999999999998,35.4,50.4,53.4,2184.6133333333332,7752.73288967726,5361.233333333334,11550.686876318405,66.86666666666667,47.052732394515814,3330.248741003531,3246.294636132662
34224.899999999994,11.7,158.1,192.0,450.30000000000007,91.8,89.1,35.1,78.0,37.8,63.0,44.2,145.79999999999998,36.3,46.8,54.3,2380.3266666666664,8514.766957691358,5854.799999999999,12692.952371777636,64.0111111111111,42.08426855988469,3649.797874786008,3568.9844906965063
37276.6,10.8,164.4,207.0,343.20000000000005,88.2,95.4,29.4,78.0,37.2,63.0,42.8,124.19999999999999,37.2,43.2,55.2,2576.04,9276.801025705454,6348.366666666667,13835.217867236866,61.15555555555555,37.11580472525357,3969.347008568485,3891.6743452603514
40328.3,9.9,170.7,222.0,236.10000000000002,84.6,101.69999999999999,23.699999999999996,78.0,36.6,63.0,41.4,102.6,38.1,39.6,56.1,2771.753333333333,10038.83509371955,6841.9333333333325,14977.483362696097,58.3,32.147340890622445,4288.896142350962,4214.364199824196
43380.0,9.0,177.0,237.0,129.0,81.0,108.0,18.0,78.0,36.0,63.0,40.0,81.0,39.0,36.0,57.0,2967.4666666666667,10800.869161733648,7335.5,16119.748858155328,55.44444444444444,27.17887705599132,4608.445276133439,4537.054054388041
39620.4,12.0,175.2,236.7,179.1,90.0,110.7,18.0,76.9,36.0,61.2,37.8,82.5,39.9,39.0,55.2,2721.0266666666666,9862.694831173947,6718.9,14714.961381464964,55.77777777777778,28.030233832469523,4212.973832613538,4140.69040887747
35860.8,15.0,173.4,236.4,229.2,99.0,113.4,18.0,75.8,36.0,59.4,35.6,84.0,40.8,42.0,53.4,2474.5866666666666,8924.520500614246,6102.3,13310.1739047746,56.11111111111111,28.88159060894773,3817.502389093638,3744.3267633668984
32101.2,18.0,171.6,236.1,279.3,108.0,116.1,18.0,74.7,36.0,57.6,33.4,85.5,41.7,45.0,51.6,2228.1466666666665,7986.346170054546,5485.7,11905.386428084235,56.44444444444444,29.73294738542593,3422.030945573738,3347.9631178563277
28341.6,21.0,169.8,235.8,329.4,117.0,118.8,18.0,73.6,36.0,55.8,31.2,87.0,42.6,48.0,49.8,1981.7066666666667,7048.171839494846,4869.1,10500.598951393871,56.77777777777778,30.584304161904136,3026.5595020538376,2951.5994723457566
24582.0,24.0,168.0,235.5,379.5,126.0,121.5,18.0,72.5,36.0,54.0,29.0,88.5,43.5,51.0,48.0,1735.2666666666667,6109.997508935145,4252.5,9095.811474703507,57.111111111111114,31.435660938382338,2631.0880585339373,2555.2358268351854
20822.4,27.0,166.2,235.2,429.6,135.0,124.2,18.0,71.4,36.0,52.2,26.799999999999997,90.0,44.4,54.0,46.2,1488.8266666666668,5171.823178375444,3635.8999999999996,7691.023998013143,57.44444444444444,32.28701771486054,2235.616615014037,2158.8721813246148
