S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
9.0,9.0,45.0,30.0,114.0,81.0,72.0,39.0,9.0,60.0,18.0,45.0,18.0,150.0,81.0,204.0,52.0,40.16964027720437,48.0,38.34057902536163,54.666666666666664,41.12852484049915,98.7232134257348,74.59843919879837
12.9,13.2,43.2,33.0,110.4,78.9,68.4,40.0,9.0,61.3,18.0,47.7,19.8,154.2,80.1,198.6,52.67333333333333,40.24599872503957,48.6,36.04600155465953,55.388888888888886,42.124149938848575,97.1731106861243,71.91608994686685
16.8,17.4,41.4,36.0,106.8,76.8,64.8,41.0,9.0,62.6,18.0,50.4,21.6,158.4,79.2,193.2,53.346666666666664,40.32235717287476,49.2,33.75142408395743,56.11111111111111,43.11977503719799,95.62300794651382,69.23374069493532
20.7,21.6,39.6,39.0,103.2,74.7,61.2,42.0,9.0,63.9,18.0,53.1,23.4,162.6,78.3,187.8,54.02,40.39871562070996,49.8,31.456846613255337,56.83333333333333,44.11540013554741,94.07290520690333,66.5513914430038
24.6,25.8,37.8,42.0,99.6,72.6,57.6,43.0,9.0,65.2,18.0,55.8,25.2,166.8,77.4,182.4,54.693333333333335,40.47507406854515,50.4,29.16226914255324,57.55555555555555,45.111025233896825,92.52280246729283,63.86904219107227
28.5,30.0,36.0,45.0,96.0,70.5,54.0,44.0,9.0,66.5,18.0,58.5,27.0,171.0,76.5,177.0,55.36666666666667,40.551432516380345,51.0,26.86769167185114,58.27777777777777,46.10665033224625,90.97269972768234,61.18669293914074
32.4,34.2,34.2,48.0,92.4,68.4,50.4,45.0,9.0,67.8,18.0,61.2,28.8,175.2,75.6,171.6,56.04,40.62779096421554,51.6,24.573114201149046,59.0,47.10227543059567,89.42259698807186,58.50434368720922
36.3,38.400000000000006,32.4,51.0,88.8,66.3,46.8,46.0,9.0,69.1,18.0,63.900000000000006,30.6,179.4,74.7,166.2,56.71333333333333,40.70414941205073,52.2,22.278536730446948,59.72222222222222,48.09790052894508,87.87249424846136,55.821994435277695
40.2,42.6,30.6,54.0,85.2,64.2,43.2,47.0,9.0,70.4,18.0,66.6,32.4,183.6,73.8,160.8,57.38666666666667,40.78050785988593,52.8,19.98395925974485,60.44444444444444,49.093525627294504,86.32239150885087,53.13964518334617
44.1,46.800000000000004,28.8,57.0,81.6,62.099999999999994,39.6,48.0,9.0,71.7,18.0,69.3,34.2,187.8,72.9,155.4,58.06,40.85686630772112,53.4,17.689381789042752,61.166666666666664,50.08915072564392,84.77228876924039,50.45729593141464
48.0,51.0,27.0,60.0,78.0,60.0,36.0,49.0,9.0,73.0,18.0,72.0,36.0,192.0,72.0,150.0,58.733333333333334,40.93322475555632,54.0,15.394804318340652,61.888888888888886,51.08477582399334,83.2221860296299,47.774946679483115
46.2,50.1,30.0,57.0,72.9,54.9,36.0,51.9,10.2,74.4,18.0,72.0,40.2,186.0,66.6,147.0,57.76,40.140205296391755,51.85,15.319052003337031,61.699999999999996,49.677649346258356,81.63340176546393,46.778306677494484
44.4,49.2,33.0,54.0,67.8,49.8,36.0,54.8,11.4,75.8,18.0,72.0,44.4,180.0,61.2,144.0,56.78666666666667,39.347185837227194,49.7,15.243299688333412,61.511111111111106,48.27052286852337,80.04461750129796,45.78166667550585
42.6,48.3,36.0,51.0,62.7,44.7,36.0,57.7,12.6,77.2,18.0,72.0,48.6,174.0,55.8,141.0,55.81333333333333,38.55416637806263,47.55,15.167547373329791,61.32222222222222,46.86339639078839,78.455833237132,44.78502667351722
40.8,47.4,39.0,48.0,57.6,39.6,36.0,60.6,13.8,78.6,18.0,72.0,52.8,168.0,50.4,138.0,54.84,37.76114691889807,45.4,15.09179505832617,61.13333333333333,45.456269913053404,76.86704897296603,43.78838667152859
39.0,46.5,42.0,45.0,52.5,34.5,36.0,63.5,15.0,80.0,18.0,72.0,57.0,162.0,45.0,135.0,53.86666666666667,36.96812745973351,43.25,15.01604274332255,60.94444444444444,44.04914343531841,75.27826470880007,42.79174666953996
37.2,45.6,45.0,42.0,47.400000000000006,29.400000000000002,36.0,66.4,16.2,81.4,18.0,72.0,61.2,156.0,39.599999999999994,132.0,52.89333333333333,36.175108000568954,41.1,14.94029042831893,60.75555555555555,42.64201695758344,73.6894804446341,41.79510666755133
35.4,44.7,48.0,39.0,42.300000000000004,24.300000000000004,36.0,69.3,17.4,82.8,18.0,72.0,65.4,150.0,34.199999999999996,129.0,51.92,35.38208854140439,38.95,14.864538113315309,60.56666666666666,41.234890479848445,72.10069618046813,40.7984666655627
33.6,43.8,51.0,36.0,37.2,19.200000000000003,36.0,72.2,18.6,84.2,18.0,72.0,69.6,144.0,28.799999999999997,126.0,50.946666666666665,34.58906908223983,36.8,14.788785798311688,60.37777777777778,39.82776400211346,70.51191191630217,39.80182666357407
31.8,42.9,54.0,33.0,32.1,14.100000000000001,36.0,75.1,19.799999999999997,85.6,18.0,72.0,73.80000000000001,138.0,23.4,123.0,49.973333333333336,33.79604962307527,34.650000000000006,14.713033483308068,60.18888888888889,38.42063752437848,68.9231276521362,38.80518666158544
