Breakout-01
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
 2021/04/20, 09:25:51,  3.901250,    0,       0.000000,       0.000000,        54,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:26:01,  3.902500,    0,       0.000000,       0.000000,        63,        18,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:26:11,  3.900000,    0,       0.000000,       0.000000,        54,        18,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:26:21,  3.897500,    0,       0.000000,       0.000000,        45,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:26:31,  3.895000,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:26:58,  3.895000,    0,       0.000000,       0.000000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:27:08,  3.896250,    0,       0.000000,       0.000000,        45,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:27:18,  3.898750,    0,       0.000000,       0.000000,        84,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:27:28,  3.901250,    0,       0.000000,       0.000000,       159,        49,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:27:38,  3.901250,    0,       0.000000,       0.000000,       138,        39,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:27:58,  3.901250,    0,       0.000000,       0.000000,        63,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:28:08,  3.898750,    0,       0.000000,       0.000000,        54,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:28:18,  3.896250,    0,       0.000000,       0.000000,        54,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:28:28,  3.898750,    0,       0.000000,       0.000000,        66,        22,         3,         3,         3,         3,         0,         0,         1,         0,         0,         1
 2021/04/20, 09:28:38,  3.900000,    0,       0.000000,       0.000000,        66,        22,         3,         3,         3,         3,         0,         0,         1,         0,         0,         1
 2021/04/20, 09:28:58,  3.898750,    0,       0.000000,       0.000000,        63,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:29:08,  3.883750,    0,       0.000000,       0.000000,        72,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:29:18,  3.898750,    0,       0.000000,       0.000000,        54,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:29:28,  3.897500,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:29:38,  3.893750,    0,       0.000000,       0.000000,        72,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:29:58,  3.893750,    0,       0.000000,       0.000000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:30:08,  3.896250,    0,       0.000000,       0.000000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:30:18,  3.898750,    0,       0.000000,       0.000000,        72,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:30:28,  3.898750,    0,       0.000000,       0.000000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:30:38,  3.898750,    0,       0.000000,       0.000000,        75,        25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:30:58,  3.898750,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:31:08,  3.897500,    0,       0.000000,       0.000000,        72,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:31:18,  3.895000,    0,       0.000000,       0.000000,        84,        28,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:31:28,  3.892500,    0,       0.000000,       0.000000,        48,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:31:38,  3.891250,    0,       0.000000,       0.000000,        45,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:31:58,  3.896250,    0,       0.000000,       0.000000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:32:08,  3.897500,    0,       0.000000,       0.000000,        84,        25,         3,         3,         3,         3,         0,         0,         1,         0,         0,         1
 2021/04/20, 09:32:18,  3.898750,    0,       0.000000,       0.000000,        45,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:32:28,  3.896250,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:32:38,  3.896250,    0,       0.000000,       0.000000,        54,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:32:58,  3.895000,    0,       0.000000,       0.000000,        54,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:33:08,  3.892500,    0,       0.000000,       0.000000,        63,        18,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:33:18,  3.896250,    0,       0.000000,       0.000000,        54,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:33:28,  3.896250,    0,       0.000000,       0.000000,        45,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:33:38,  3.897500,    0,       0.000000,       0.000000,        54,        15,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:33:58,  3.897500,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:34:08,  3.893750,    0,       0.000000,       0.000000,        45,        15,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:34:18,  3.891250,    0,       0.000000,       0.000000,        45,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:34:28,  3.891250,    0,       0.000000,       0.000000,        27,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:34:38,  3.891250,    0,       0.000000,       0.000000,        63,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:34:58,  3.893750,    0,       0.000000,       0.000000,        72,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:35:08,  3.893750,    0,       0.000000,       0.000000,        54,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:35:18,  3.896250,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:35:28,  3.896250,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:35:38,  3.896250,    0,       0.000000,       0.000000,        27,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:35:58,  3.892500,    0,       0.000000,       0.000000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:36:08,  3.888750,    0,       0.000000,       0.000000,       102,        34,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:36:18,  3.888750,    0,       0.000000,       0.000000,        63,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:36:28,  3.891250,    0,       0.000000,       0.000000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:36:38,  3.893750,    0,       0.000000,       0.000000,        57,        19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:36:58,  3.893750,    0,       0.000000,       0.000000,        36,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:37:08,  3.893750,    0,       0.000000,       0.000000,        54,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:37:18,  3.895000,    0,       0.000000,       0.000000,        72,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:37:28,  3.895000,    0,       0.000000,       0.000000,        63,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2021/04/20, 09:37:38,  3.893750,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
